person	victimise	imputable	incapability	bad_person	rejection	unpleasantness	ignorance	attachment	unbeneficial	negligence	hate	laziness	remonstration	devoutness
work_of_art	suit_of_armor	horse	painting	warrior	cloth	armor	race	person	landing	wear_on	gladius	sword	armed_combat	safety_match
book	philosophy	person	enquiry	instructor	work_of_art	philosopher	scholar	sociology	artifact	reference	inquiry	piece_of_material	account	according
person	head_of_government	state_government	legislative_assembly	unicameral_legislature	legislative_body	provincial	justice	independent_body	indirect_democracy	local_government	political_party	responsible_government	national_assembly	council_of_state
person	coach	cricketer	sportsperson	competitor	umpire	athlete	footballer	team_sport	ballplayer	sports_league	thrower	sport	baseball_player	sportswoman
person	natural_phenomenon	economics	argumentative	philosophy	political_organization	humanist	work_of_art	human_language	phenomenon	sociology	reader	logical_argument	argumentation	political_organisation
person	work_of_art	social_event	government	political_organisation	polity	religious_person	social_function	group_event	logical	signaling	season	group_behaviour	economics	motion
body_of_water	mode_of_transport	surface	gully	stream_channel	work_of_art	type_of_sport	streambed	waterbody	sailboat	ocean	stream_bed	flow	canoe	boat
person	bad_person	wrongful	imaginary_being	victim	wrongful_conduct	bad_luck	criminal_offense	crime	corrupted	good_person	offence	criminal_offence	stealing	penalty
person	computer_program	work_of_art	curved_shape	shape	poker_hand	affix	dormer	electronic_circuit	clothes	suit_of_clothes	picture	record_album	crime	microcircuit
physical_phenomenon	person	picture	imaginary_being	eye	intuitable	worshipper	work_of_art	technical_specification	film_clip	bad_person	observable	theory_of_art	pathological_state	explanation
person	filmmaker	film_director	film_producer	scriptwriter	lyricist	hairdresser	television_producer	producer	film_maker	actress	actor	dramatist	executive_producer	social_event
computing_machine	mechanical_assembly	ball_bearing	circuit_board	circuitry	chip	electrical_device	amperage	electrical_circuit	interlock	electronic_circuit	air_flow	computer_chip	printed_circuit	integrated_circuit
person	work_of_art	locus	human_language	communication_medium	one_person	motion	mapmaking	musical_composition	making	cartography	title	language	main	social_event
person	plant	computer_code	chemical_action	biological_group	body_part	discovery	computer_file	brain	molecular_entity	rock_band	medicine	experiment	blood	storage_medium
computer_program	person	software_program	company	parcelling	technology	firm	venture	worker	computer_software	making	clothing	asset	utilisation	cartography
causeway	body_of_water	motorway	gully	kilometre	piece_of_ground	expressway	freeway	mooring	main_road	bridge	toll_road	piece_of_land	landing_field	parcel_of_land
person	dimensionless_quantity	mathematical_space	money_circulation	mathematical_relation	hayekian	arithmetically	definite_quantity	arithmetical	mathematically	fundamental_measure	measuring_rod	finite_set	natural_numbers	paper_money
phenomenon	function	fundamental_quantity	physical_property	bodily_process	bodily	muscular_contraction	natural_phenomenon	structural_analysis	reaction	engineering_physics	computer_code	measure	bodily_structure	mechanism
person	competitor	boss	sportsperson	worker	firm	one_person	competent_person	actor	political_leader	corporate_executive	entrepreneur	decision_maker	sport	team
disease	predisposition	nitrogenous	tissue	animal	incurable	contagion	abnormal	plant_part	digestion	body_part	pathological_state	internal_organ	sickness	gastrointestinal_tract
function	work_of_art	shape	hairstyle	body_structure	person	gymnastic_apparatus	sheath	type_of_sport	hair_style	anatomical_structure	locus	placement	body_part	female_person
atmospheric_phenomenon	natural_phenomenon	illness	pathological_state	sickness	sick_person	scientific_article	disorder	physical_examination	disease	ailment	scientific_method	case_history	weather_condition	communicable_disease
passageway	means_of_transport	railway_track	air_passage	superhighway	flight_of_stairs	obstruction	bicycle	motorway	transport_infrastructure	footpath	bicycle_parking	elevators	sidewalk	access_road
picture_show	channel	motion_picture	movie	tv_show	record_album	social_event	television_show	television_series	pc_game	motion	storage_medium	storage	drama	video_game_console
pictorial_representation	painting	musical_composition	sculpture	classical_fencing	horse	input_device	descent	imitation	action_game	warrior	rocketry	java	playability	landing
person	computer_programme	work_of_art	computer_program	picture	information_processing_system	computer_code	home_appliance	company	electrical_appliance	video_game_console	software_program	video_game	videogaming	pc_game
person	work_of_art	communication_medium	traveling	musical_composition	travelling	electrical_device	record_album	communication_device	computer_system	computer_program	medium	adventurer	accident	military_action
body_of_water	land_site	waterbody	water_bird	geographic_point	shoal	parcel_of_land	piece_of_ground	waters	mates	surface	river_mouth	landing_field	ocean	vicinity
airplane	surface	aeroplane	computing_machine	means_of_transportation	aircraft	mechanical_assembly	vehicle	means_of_transport	motion	movement	mode_of_transport	cylinder	passenger_transport	operator
computer_program	storage_medium	person	software	computer_code	software_program	work_of_art	computer	computer_programme	code	iti	musical_composition	computer_software	recording	medium
person	record_album	group_event	granary	work_unit	biological_group	function	designated_place	monetary_unit	title	bookman	derived	parcel_of_land	state	surname
vegetable	foodstuff	cereal	grain	confection	plant	sweets	dishes	cookware	rices	food_product	meal	nonalcoholic	cell	perennial
work_of_art	surface	artwork	drawing	picture	equipment	pic	curved_shape	map	storage	group_event	motion	record_album	cereal_box	entrant
person	work_of_art	public_building	picture	trainer	making	the_pilot	landing_field	imaginary_being	show	military_force	view	war	make	traveling
person	natural_phenomenon	computer_program	title	work_of_art	motion	phenomenon	explanation	book	employee	reader	record_album	observable	state	written_document
work_of_art	sweets	assets	person	storage_medium	grain	liquid_state	five_senses	free_energy	perennial	cell_membrane	poker_hand	storage	plant	disease
person	illness	medical_facility	sick_person	ailment	medical_aid	disaster	death	sickness	hospital_care	medical	medical_emergency	injury	locus	trouble
person	legal_name	producer	aristocrat	poetess	family_name	record_album	actor	title	surname	shopkeeper	full_name	work_of_art	owner	boss
person	computing_machine	social_event	social_function	economics	political_organisation	political_organization	computer_program	scheme	title	parcelling	technical_specification	organizing	making	mathematical_process
person	painter	competent_person	educator	designer	engineer	craftsman	sculptor	firm	parcel_of_land	attorney_at_law	salesperson	apprentice	work_of_art	public_building
body_of_water	warfare	wind_erosion	means_of_transport	granular_material	combatant	terrain	storm_damage	natural_action	soil_structure	pod	stranding	propagation	cordgrass	warlike
person	writer	movie_maker	fictional_character	actor	bookman	piece_of_work	proof_reader	educator	work_of_art	ghostwriter	scriptwriter	screenplay	motion_picture	dramatist
landfall	studio_album	anthemic	musical_style	musical_work	home_field_advantage	permanency	thalweg	blind_alley	religious_music	juridical	criminal_offense	primate	bronze_birch_borer	fertilisation
person	lawyer	decision_maker	social_event	social_function	one_person	political_leader	leader	group_event	politician	officeholder	minister	justice	legislator	governance
governance	gov	social_control	political_system	political	political_organisation	political_organization	political_movement	government	civil_society	parliamentary_democracy	political_economy	democratic	form_of_government	political_program
person	group_event	state	social_occasion	social_event	economics	voluntary_association	political_organisation	social_function	piece_of_land	government	scheme	work_of_art	polity	locale
physical_phenomenon	phenomenon	natural_phenomenon	skin	body_structure	sensory_system	surgical_operation	sensation	anatomical_structure	radiation	pain	atmospheric_condition	bodily_structure	body_part	mental_attitude
molecular_entity	binary_relation	heredity	predisposition	abstract_object	female_person	natural_action	imaginary_being	diseconomy	offspring	animal	altruistically	ductus	genotype	fertilized_ovum
person	medical_facility	competitor	competent_person	incline	sportsperson	writer	educator	horseriding	business_organization	educational_institution	coach	decision_maker	healthcare_facility	media_professional
person	scholar	religious_leader	political_leader	astrologer	inquiry	political_organisation	philosophy	religious_ceremony	learned_person	military_leader	priest	written_document	republic	form_of_government
