concealment	uselessness	wrongfulness	person	utter	worthlessness	thoughtlessness	aggression	inflict	wrongness	misdeed	provocation	annoyance	reasoning	ignorance
armor	weapon	person	sword	riding	weight	opponent	sportsperson	warrior	moves	endomorph	combat	technical_specification	contestant	weapon_system
person	writer	piece_of_work	work_of_art	story	teacher	photograph	moving_picture	artifact	picture	tangibility	thinker	camera	one_person	portrait
written_agreement	person	public_body	facility	juridical_person	premises	authorized	public_building	proceedings	authorize	legal_person	governing_body	place_of_business	corporation	state
person	competitor	sportsperson	baseball_player	ballplayer	athlete	jock	competition	umpire	football	football_player	coach	baseball	cricketer	ball_player
social	sociology	philosophy_of_language	theory	philosophical	philosophy	line_of_thought	person	researcher	movement	semiotics	theoretical	formal_language	mathematical	deductive
person	social_control	social_function	communication_medium	explication	political_organization	philosophical	justice	social_event	social	gov	juridical	mass_media	party	studio_album
body_of_water	surface	waterbody	fluid	animal	rivers	atmosphere	ice_mass	transport	sea_bottom	waters	ice	flow	physical_phenomenon	vehicle
person	one_person	bad_person	good_person	title_of_respect	misfunctioning	gentleman	misdeed	evildoing	possessor	another	false_statement	putting_to_death	offence	wrongful
public_building	communication_medium	appliance	person	component	sociogram	commercial_building	home_appliance	computer_file	storage_medium	investigating	function	exterior	storage	computer_software
sickness	person	illness	affliction	malady	derangement	picture	sick_person	movement	ailment	contagious_disease	disorder	eyes	sufferer	life
person	moving_picture	film_director	filmmaker	film_maker	film_producer	actor	tv_show	movie	television_producer	television_program	motion_picture	film	screenwriter	tv_program
mechanical_assembly	circuit_board	electrical_device	electrical_circuit	electrical_connection	household_appliance	electronic_circuit	electric_circuit	electrical_appliance	circuit_card	computer_case	electronic_equipment	electronic_component	home_appliance	conductive
person	locale	musical_work	picture	making	gainful	work_of_art	agreement	termination	moving_picture	storage_medium	possession	make	recording	written_document
disease	health	plant	pharmaceutical_drug	illness	medical	medicine	sickness	drug	laboratory	chemistry	person	vital_organ	field_trial	sick_person
database	information_network	enterprise	infrastructure	data	data_management	knowledge_organization	person	research	information_system	technology	network	partnership	profit	database_management_system
expressway	freeway	throughway	theme_park	bridge_over	causeway	park	parcel_of_land	main_road	thoroughfare	body_of_water	overpass	mall	bridge	land_site
excretive	bedplate	inkle	paper	physical_phenomenon	superparticle	cliquet	storage_medium	forcer	enucleate	cookable	computer_file	ovalization	computer_code	boylean
bodily_process	physical_phenomenon	abstract_object	function	bodily_structure	bodily	person	sick_person	body_structure	bodily_function	mental_energy	syntactic_category	illness	dilation	healthiness
person	firm	competitor	company	venture	consultant	boss	manager	team	chief	leader	enterprise	movement	corporate_executive	administrator
disease	animal	animal_product	macromolecule	pathogen	food_product	breakdown	microorganism	treating	blood_stream	nonaddicting	pharmaceutical_drug	glycoprotein	nucleic	biomolecule
moves	shape	direction	movement	body_structure	move	strength	weight	geometric_shape	figure	bodily_structure	hair_style	function	predisposition	axis
sickness	contagious_disease	disease	illness	health	medicine	communicable_disease	disorder	medical_literature	communicable_diseases	ailment	chronic	diagnosis	animal	infection
underpass	carriageway	foot_traffic	passageway	footpath	thoroughfare	dirt	corridor	freeway	duct	pedestrian_traffic	vehicle_traffic	roadway	vehicular_traffic	overpass
person	picture_show	record_album	movie	moving_picture	motion_picture	tv_series	studio_album	television_set	flick	television	video_recording	recording	tv	tv_set
person	stringed_instrument	shape	musical_score	computer_mouse	weapon_system	piece_of_work	geometric_shape	visual_communication	moving_picture	musical_composition	knowledge_organization	system_requirements	sword	penciller
person	computer_programme	computer_program	videogaming	computing_machine	app	pc_game	computer_code	application	video_game_console	software	computing_device	moving_picture	computing_platform	transmission_channel
storage_medium	communication_medium	computer_code	software_application	software	software_package	obstruction	computer_program	database	software_program	electrical_device	electronic_media	computer_software	print_media	digital_media
snow	waterbody	body_of_water	animal	habitation	locale	inlet	snowfall	catchment_basin	protected_area	mountain	microhabitat	parcel_of_land	snow_cover	transport
person	mechanical_assembly	move	transport	motion	movement	company	component	software_component	means_of_transport	moving	connection	mechanism	nonaviation	weapon
motion_picture	moving_picture	computing_platform	games_console	computer_game	movie	video_game	game_console	interactive_film	person	disc_drive	film	musical_composition	electronic_game	data_storage_device
person	precious_stone	record_album	biotechnologist	plant	family_name	merchant	given_name	counties_of_england	hardy	plant_product	cannabis_sativa	locale	possessor	stone_sculpture
foodstuff	consumption	nonalcoholic	staple	cereal	healthy	eat	diet	person	consumed	meal	beverage	dietary	food_energy	nondurable
fluid	food_product	surface	storage	foodstuff	phaseout	manufacturing_process	packaging	hcfc	paperboard	excretory_organ	shape	liquid_state	beverage	confectionery
person	piloting	aeroplane	ship	journalist	fighter	airplane	team	pilot	technical_specification	crew_member	weapon_system	weapons_system	direction	act_upon
